NO,QTY,JENIS BARANG,KODE,BERAT CAMPURAN,JUMLAH STONE DIPAKAI,JUMLAH PEMESANAN PER 3 BULAN,BIAYA BAHAN BAKU,UKURAN (INCH),BERAT,HARGA,TOTAL
130,1,SILVER BRACELETS                                             ,BTP 124,0,0,17,12,9.00,153.00,146.88,146.88
131,2,SILVER BRACELETS                                           ,BSER 125,0,0,25,94,7.50,124.00,59.52,119.04
132,2,SILVER BRACELETS                                           ,BSER 125,0,0,22,26,8.50,141.00,67.68,135.36
133,2,SILVER BRACELETS                                            ,BSER 117,0,0,11,94,7.50,136.00,65.28,130.56
134,2,SILVER BRACELETS                                           ,BSER 117,0,0,14,61,8.50,154.00,73.92,147.84
135,2,SILVER BRACELETS                                            ,BSKN 68,0,0,30,50,7.50,105.00,50.40,100.80
136,2,SILVER BRACELETS                                               ,BSKN 68,0,0,7,15,8.50,117.00,56.16,112.32
137,12,SILVER BRACELETS,BSOK 46-GP,0,0,17,33,7.00,369.00,36.52,438.24
138,12,SILVER BRACELETS,BSOK 46-GP,0,0,9,16,7.50,393.00,38.44,461.28
139,8,SILVER BRACELETS,BSOK 46-GP,0,0,19,45,8.00,280.00,40.60,324.80
140,8,SILVER BRACELETS ,BSTR 750-GP,0,0,39,47,7.50,414.00,56.68,453.44
141,12,SILVER BRACELETS ,BSTR 750-GP,0,0,38,55,8.00,660.00,59.80,717.60
142,12,SILVER BRACELETS ,BSTR 750-GP,0,0,33,55,8.50,711.00,63.88,766.56
143,8,SILVER BRACELETS ,BSTR 750-GP,0,0,40,27,9.00,495.00,66.40,531.20
144,12,SILVER NECKLECES ,NSRK 401-GP,0,0,46,31,18.00,577.00,53.16,637.92
145,12,SILVER NECKLECES,NSRK 401-GP,0,0,28,89,20.00,638.00,58.04,696.48
146,12,SILVER NECKLECES,NSRK 401-GP,0,0,30,41,22.00,697.00,62.76,753.12
147,12,SILVER NECKLECES ,NSRK 401-GP,0,0,8,33,24.00,746.00,66.68,800.16
148,6,SILVER NECKLECES,NSRK 501-GP,0,0,33,66,18.00,429.00,75.64,453.84
149,6,SILVER NECKLECES,NSRK 501-GP,0,0,14,45,20.00,476.00,83.16,498.96
150,6,SILVER NECKLECES,NSRK 501-GP,0,0,1,16,22.00,522.00,90.52,543.12
151,6,SILVER NECKLECES ,NSRK 501-GP,0,0,36,70,24.00,568.00,97.88,587.28
152,1,SILVER BRACELETS ,BSER 117-G,0.9,0,27,18,8.00,74.00,142.72,142.72
153,1,SILVER BRACELETS,BSER 117-G,0.9,0,21,70,8.50,79.00,145.60,145.60
154,2,SILVER BRACELETS,BSRB 614,0,0,48,52,8.00,306.00,146.88,293.76
155,2,SILVER BRACELETS,BSRB 614,0,0,22,91,8.50,325.00,156.00,312.00
156,5,SILVER BRACELETS,BSRK 560,0,0,30,100,7.00,207.00,39.74,198.72
157,5,SILVER BRACELETS,BSRK 560,0,0,36,88,7.50,220.00,42.24,211.20
158,5,SILVER BRACELETS,BSRK 560,0,0,45,49,8.00,231.00,44.35,221.76
159,1,SILVER BRACELETS,BTP 154-S,0,5,7,88,8.50,150.00,174.00,174.00
160,1,SILVER BRACELETS,BTP 154-S,0,5,46,56,9.00,160.00,183.60,183.60
161,1,SILVER BRACELETS,BSFK 850-G,0.9,0,49,58,7.50,62.00,131.20,131.20
162,1,SILVER BRACELETS,BSFK 850-G,0.9,0,35,31,-,66.00,135.04,135.04
163,1,SILVER BRACELETS ,BSTR 577-G,1,0,39,83,7.50,50.00,128.45,128.45
164,3,SILVER BRACELETS,BSTR 550,0,0,32,19,8.00,164.00,52.48,157.44
165,3,SILVER BRACELETS,BSTR 550,0,0,30,91,8.50,170.00,54.40,163.20
166,2,SILVER BRACELETS,BCHK 1040,0,0,50,71,8.50,225.00,108.00,216.00
167,1,SILVER BRACELETS,BSER 1016,0,0,5,29,8.00,124.00,119.04,119.04
168,1,SILVER BRACELETS,BSER 1016,0,0,47,98,8.50,129.00,123.84,123.84
169,1,SILVER BRACELETS,BSER 1016,0,0,14,86,9.00,139.P,133.44,133.44
170,1,SILVER BRACELETS,BSER 1216-S,0,6,14,74,8.25,129.00,153.84,153.84
171,1,SILVER BRACELETS,BSER 1216-S,0,6,26,89,8.75,137.00,161.52,161.52
172,1,SILVER BRACELETS,BBBG 425-G,2.3,0,39,51,-,88.00,233.64,233.64
173,1,GOLD RING (141<),RCRH 01,5,0,45,57,4.00,5.00,220.50,220.50
174,1,GOLD RING (141<),RCRH 01,9.2,0,26,44,8.50,9.20,397.32,397.32
175,1,SILVER BRACELETS,BSTR 6831-SG,0.5,20,32,24,7.50,53.00,104.43,104.43
176,1,SILVER BRACELETS,BSTR 7931-SG,0.6,18,41,30,7.50,66.00,121.00,121.00
177,1,SILVER BRACELETS,BSFK 5701-SG,1.1,57,23,73,7.50,48.00,137.38,137.38
178,1,SILVER BRACELETS,BSTR 5705-SG,1.1,75,36,38,7.50,43.00,137.49,137.49
179,1,SILVER BRACELETS,BSTR 5701-SG,1,33,18,57,7.00,40.00,123.73,123.73
180,1,SILVER BRACELETS,BSTR 5702-SG,1,33,50,87,7.50,42.00,129.00,129.00
181,1,SILVER BRACELETS,BSTR 5703-SG,1,37,45,86,7.00,40.00,129.41,129.41
182,1,SILVER BRACELETS,BLKL 750,0,0,23,93,7.50,20.00,31.80,31.80
183,1,SILVER BRACELETS,BLKL 750,0,0,33,27,8.00,21.00,32.79,32.79
184,1,SILVER BRACELETS,BSTR 5704-S,0,33,12,96,7.50,41.00,81.37,81.37
185,1,SILVER BRACELETS,BSTR 5703-S,0,37,19,91,7.50,41.00,81.61,81.61
186,3,SILVER BRACELETS,BSKN 68,0,0,15,36,7.50,162.00,51.84,155.52
187,4,SILVER BRACELETS,BSKN 68,0,0,4,22,8.00,229.00,54.96,219.84
188,1,SILVER BRACELETS,BSKN 68,0,0,25,83,8.50,60.00,57.60,57.60
189,3,SILVER BRACELETS,BDKM 075,0,0,46,26,8.25,234.00,74.88,224.64
190,3,SILVER BRACELETS,BSKM 775,0,0,39,28,7.50,217.00,69.44,208.32
191,4,SILVER BRACELETS,BSKM 775,0,0,44,65,8.00,302.00,72.48,289.92
192,2,SILVER BRACELETS,BSKM 775,0,0,46,26,8.50,157.00,75.36,150.72
193,3,SILVER BRACELETS,BSFB 614,0,0,3,13,8.00,456.00,145.92,437.76
194,2,SILVER BRACELETS,BSFB 614,0,0,28,10,8.50,327.00,156.96,313.92
195,1,SILVER BRACELETS,BSFB 614,0,0,43,38,9.00,171.00,164.16,164.16
196,2,SILVER BRACELETS,BSBP 5711,0,0,16,88,7.50,97.00,46.56,93.12
197,7,SILVER BRACELETS,BSBP 5711,0,0,16,38,8.00,363.00,49.78,348.48
198,4,SILVER BRACELETS,BSBP 5711,0,0,31,94,8.50,220.00,52.80,211.20
199,4,SILVER BRACELETS,BTP 124,0,0,8,98,8.00,510.00,122.40,489.60
200,2,SILVER BRACELETS,BTP 124,0,0,44,14,8.50,270.00,129.60,259.20
201,1,SILVER BRACELETS,BTP 124,0,0,13,10,9.00,143.00,137.28,137.28
202,1,SILVER BRACELETS,BFTN 127,0,0,26,33,8.50,124.00,119.04,119.04
203,1,SILVER BRACELETS,BFTN 127,0,0,13,34,9.00,131.00,125.76,125.76
204,4,SILVER BRACELETS,BSER 1016,0,0,47,99,8.00,523.00,125.52,502.08
205,3,SILVER BRACELETS,BSER 1016,0,0,24,28,8.50,411.00,131.52,394.56
206,1,SILVER BRACELETS,BSER 1016,0,0,23,88,9.00,145.00,139.20,139.20
207,1,SILVER BRACELETS,BFTR 150,0,0,12,21,8.50,124.00,119.04,119.04
208,1,SILVER BRACELETS,BFTR 150,0,0,48,61,9.00,132.00,126.72,126.72
209,2,SILVER BRACELETS,BSTR 179,0,0,19,58,7.50,124.00,59.52,119.04
210,3,SILVER BRACELETS,BFTN 115,0,0,40,97,8.00,270.00,86.40,259.20
211,2,SILVER BRACELETS,BSTR 462,0,0,17,38,7.50,66.00,31.68,63.36
212,1,SILVER BRACELETS,BCRK 705,0,0,40,71,8.00,60.00,57.60,57.60
213,3,SILVER BRACELETS,BSTR 711,0,0,16,98,8.00,274.00,87.68,263.04
214,5,SILVER BRACELETS,BSTR 711,0,0,12,48,8.50,485.00,93.12,465.60
215,2,SILVER BRACELETS,BCTR 800,0,0,1,55,8.50,258.00,123.84,247.68
216,4,SILVER BRACELETS,BSFK 850,0,0,12,91,7.50,240.00,57.60,230.40
217,5,SILVER BRACELETS,BSFK 850,0,0,6,37,8.00,322.00,61.82,309.12
218,2,SILVER BRACELETS,BSFB 074,0,0,15,38,7.00,110.00,52.80,105.60
219,5,SILVER BRACELETS,BSFB 074,0,0,23,68,7.50,294.00,56.45,282.24
220,4,SILVER BRACELETS,BSFB 074,0,0,10,55,8.00,246.00,59.04,236.16
221,1,SILVER BRACELETS,BCKS 410,0,0,22,77,8.50,87.00,83.52,83.52
222,1,SILVER BRACELETS,BCKS 167,0,0,25,39,9.00,208.00,199.68,199.68
223,3,SILVER BRACELETS,BSRK 560,0,0,9,10,8.00,134.00,42.88,128.64
224,2,SILVER BRACELETS,BSED 3512,0,0,36,34,7.00,110.00,52.80,105.60
225,1,SILVER BRACELETS,BSED 1151,0,0,20,60,7.50,61.00,58.56,58.56
226,2,SILVER BRACELETS,BSED 1151,0,0,3,71,8.00,128.00,61.44,122.88
227,1,SILVER BRACELETS,BSED 1151,0,0,35,48,9.00,71.00,68.16,68.16
