JENIS BARANG,KODE,BERAT CAMPURAN,JUMLAH STONE DIPAKAI,JUMLAH PEMESANAN PER 3 BULAN,BIAYA BAHAN BAKU,UKURAN (INCH),BERAT,HARGA
SILVER BRACELETS,BSBP 5711,0,0,16,27.936,7.5,97,46.56
SILVER BRACELETS,BSBP 5711,0,0,10,29.868,8,363,49.78
SILVER BRACELETS,BSBP 5711,0,0,7,31.68,8.5,220,52.8
SILVER BRACELETS,BTP 124,0,0,16,73.44,8,510,122.4
SILVER BRACELETS,BTP 124,0,0,15,77.76,8.5,270,129.6
SILVER BRACELETS,BTP 124,0,0,5,82.368,9,143,137.28
SILVER BRACELETS,BFTN 127,0,0,11,71.424,8.5,124,119.04
SILVER BRACELETS,BFTN 127,0,0,7,75.456,9,131,125.76
SILVER BRACELETS,BSER 1016,0,0,19,75.312,8,523,125.52
SILVER BRACELETS,BSER 1016,0,0,14,78.912,8.5,411,131.52
SILVER BRACELETS,BSER 1016,0,0,1,83.52,9,145,139.2
SILVER BRACELETS,BFTR 150,0,0,9,71.424,8.5,124,119.04
SILVER BRACELETS,BFTR 150,0,0,2,76.032,9,132,126.72
SILVER BRACELETS,BSTR 179,0,0,19,35.712,7.5,124,59.52
SILVER BRACELETS,BFTN 115,0,0,17,51.84,8,270,86.4
SILVER BRACELETS,BSTR 462,0,0,20,19.008,7.5,66,31.68
SILVER BRACELETS,BCRK 705,0,0,17,34.56,8,60,57.6
SILVER BRACELETS,BSTR 711,0,0,19,52.608,8,274,87.68
SILVER BRACELETS,BSTR 711,0,0,2,55.872,8.5,485,93.12
SILVER BRACELETS,BCTR 800,0,0,1,74.304,8.5,258,123.84
SILVER BRACELETS,BSFK 850,0,0,11,34.56,7.5,240,57.6
SILVER BRACELETS,BSFK 850,0,0,15,37.092,8,322,61.82
SILVER BRACELETS,BSFB 074,0,0,5,31.68,7,110,52.8
SILVER BRACELETS,BSFB 074,0,0,16,33.87,7.5,294,56.45
SILVER BRACELETS,BSFB 074,0,0,12,35.424,8,246,59.04
SILVER BRACELETS,BCKS 410,0,0,17,50.112,8.5,87,83.52
SILVER BRACELETS,BCKS 167,0,0,13,119.808,9,208,199.68
SILVER BRACELETS,BSRK 560,0,0,16,25.728,8,134,42.88
SILVER BRACELETS,BSED 3512,0,0,15,31.68,7,110,52.8
SILVER BRACELETS,BSED 1151,0,0,15,35.136,7.5,61,58.56
SILVER BRACELETS,BSED 1151,0,0,17,36.864,8,128,61.44
SILVER BRACELETS,BSED 1151,0,0,9,40.896,9,71,68.16
SILVER BRACELETS,BTP 128,0,0,9,64.512,8,224,107.52
SILVER BRACELETS,BTP 128,0,0,8,69.696,8.5,121,116.16
SILVER BRACELETS,BTP 128,0,0,1,73.152,9,254,121.92
SILVER BRACELETS,BCKS 48,0,0,15,22.176,7,77,36.96
SILVER BRACELETS,BCKS 48,0,0,20,24.096,7.5,251,40.16
SILVER BRACELETS,BCKS 48,0,0,4,25.728,8,134,42.88
SILVER NECKLECES,NCKS 48,0,0,1,60.336,20,419,100.56
SILVER NECKLECES,NCKS 48,0,0,7,67.68,22,235,112.8
SILVER BRACELETS,BCKS 156,0,0,2,66.816,8.5,116,111.36
SILVER BRACELETS,BSBP 708,0,0,3,44.352,8,77,73.92
SILVER BRACELETS,BSBP 708,0,0,17,47.232,8.5,82,78.72
SILVER BRACELETS,BSBP 708,0,0,10,50.112,9,87,83.52
SILVER BRACELETS,BCTP 115,0,0,13,77.76,8.5,270,129.6
SILVER BRACELETS,BCBD 725,0,0,17,33.696,8,117,56.16
SILVER BRACELETS,BCBD 725,0,0,9,35.136,8.5,122,58.56
SILVER NECKLECES,NSRB 401,0,0,12,40.896,24,142,68.16
SILVER BRACELETS,BCSS 800,0,0,16,41.472,7.5,216,69.12
SILVER BRACELETS,BCSS 800,0,0,11,44.004,8,382,73.34
SILVER BRACELETS,BCSS 800,0,0,4,45.792,8.5,159,76.32
SILVER BRACELETS,BSTR 097,0,0,13,38.16,8,265,63.6
SILVER BRACELETS,BSTR 097,0,0,14,40.896,8.5,213,68.16
SILVER BRACELETS,BSTR 097,0,0,14,43.2,9,75,72
SILVER BRACELETS,BSFK 850-G,0.9,0,15,78.276,8,64,130.46
SILVER BRACELETS,BSOK 46,0,0,20,17.484,7,516,29.14
SILVER BRACELETS,BSOK 46,0,0,4,18.888,7.5,787,31.48
SILVER BRACELETS,BSOK 46,0,0,20,20.88,8,435,34.8
SILVER BRACELETS,BSOK 46,0,0,17,20.736,8.25,72,34.56
SILVER BRACELETS,BSTR 550,0,0,8,30.24,8,105,50.4
SILVER BRACELETS,BSTR 550,0,0,2,31.68,8.5,110,52.8
SILVER BRACELETS,BSTR 550,0,0,12,33.12,9,115,55.2
SILVER BRACELETS,BSTR 577,0,0,12,26.64,7,185,44.4
SILVER BRACELETS,BSTR 577,0,0,7,28.554,7.5,347,47.59
SILVER BRACELETS,BSTR 577,0,0,7,30.528,8,265,50.88
SILVER BRACELETS,BSTR 577,0,0,13,31.68,8.5,110,52.8
SILVER BRACELETS,BCHK 1041,0,0,17,63.648,8,221,106.08
SILVER BRACELETS,BCHK 1041,0,0,8,66.528,8.5,231,110.88
SILVER BRACELETS,BCHK 1041,0,0,8,70.56,9,245,117.6
SILVER BRACELETS,BSTR 097-S,0,46,9,61.602,7.5,406,102.67
SILVER BRACELETS,BSTR 097-S,0,46,5,63.906,8,217,106.51
SILVER BRACELETS,BCFK 155,0,0,2,87.84,8.5,915,146.4
SILVER BRACELETS,BCFK 155,0,0,11,93.312,9,162,155.52
SILVER BRACELETS,BCFK 560,0,0,19,35.064,8,487,58.44
SILVER BRACELETS,BCHK 1040,0,0,11,60.48,7.5,105,100.8
SILVER BRACELETS,BCHK 1040,0,0,4,63.36,8,110,105.6
SILVER BRACELETS,BFTN 126,0,0,8,59.04,8,205,98.4
SILVER BRACELETS,BFTN 126,0,0,13,61.248,8.5,319,102.08
SILVER BRACELETS,BSTR 379,0,0,13,46.656,7.5,162,77.76
SILVER BRACELETS,BSTR 379,0,0,18,49.392,8,343,82.32
SILVER BRACELETS,BSTR 379,0,0,12,52.416,8.5,182,87.36
SILVER BRACELETS,BSTR 845-S,0,50,18,54.96,8.5,166,91.6
SILVER BRACELETS,BSTR 845-S,0,50,7,56.784,8,117,94.64
SILVER BRACELETS,BSTR 845-S,0,50,15,56.784,8,111,94.64
SILVER BRACELETS,BCBP 68,0,0,2,27.744,7.5,289,46.24
SILVER BRACELETS,BCBP 68,0,0,7,29.262,8,254,48.77
SILVER BRACELETS,BCBP 68,0,0,16,31.392,8.5,218,52.32
SILVER BRACELETS,BSTR 5704-S,0,33,3,47.886,7,39,79.81
